Network,Community_Area,Degree_Centrality,Eigenvector_Centrality,Closeness_Centrality
cosine_0.7,Englewood,0.25,3.531780925201773e-06,0.25
cosine_0.7,West_Englewood,0.25,3.531780925201773e-06,0.25
cosine_0.7,Irving_Park,0.5,0.44721359549159045,0.5
cosine_0.7,JeffersonPark,0.5,0.44721359549159045,0.5
cosine_0.7,Lakeview,0.5,0.44721359549159045,0.5
cosine_0.7,LincolnPark,0.5,0.44721359549159045,0.5
cosine_0.7,NearNorthSide,0.0,3.751499544849517e-17,0.0
cosine_0.7,Portage_Park,0.5,0.44721359549159045,0.5
cosine_0.7,South_Lawndale,0.25,3.531780925201773e-06,0.25
cosine_0.5,Englewood,0.25,2.6733910527249063e-06,0.25
cosine_0.5,West_Englewood,0.25,2.6733910527249063e-06,0.25
cosine_0.5,Irving_Park,0.5,0.4396832767770634,0.5208333333333334
cosine_0.5,JeffersonPark,0.625,0.46227167172338934,0.625
cosine_0.5,Lakeview,0.5,0.4396832767770634,0.5208333333333334
cosine_0.5,LincolnPark,0.5,0.4396832767770634,0.5208333333333334
cosine_0.5,NearNorthSide,0.125,0.1141024363936138,0.3472222222222222
cosine_0.5,Portage_Park,0.5,0.4396832767770634,0.5208333333333334
cosine_0.5,South_Lawndale,0.25,2.6733910527249063e-06,0.25
cosine_0.3,Englewood,0.25,1.5573436373229138e-06,0.25
cosine_0.3,West_Englewood,0.25,1.5573436373229138e-06,0.25
cosine_0.3,Irving_Park,0.625,0.4082482904623778,0.625
cosine_0.3,JeffersonPark,0.625,0.4082482904623778,0.625
cosine_0.3,Lakeview,0.625,0.4082482904623778,0.625
cosine_0.3,LincolnPark,0.625,0.4082482904623778,0.625
cosine_0.3,NearNorthSide,0.625,0.4082482904623778,0.625
cosine_0.3,Portage_Park,0.625,0.4082482904623778,0.625
cosine_0.3,South_Lawndale,0.25,1.5573436373229138e-06,0.25
euclidean_0.6,Englewood,0.0,1.7860265910260497e-09,0.0
euclidean_0.6,West_Englewood,0.0,1.7860265910260497e-09,0.0
euclidean_0.6,Irving_Park,0.375,0.4747510365814448,0.4
euclidean_0.6,JeffersonPark,0.25,0.40669253048717363,0.2857142857142857
euclidean_0.6,Lakeview,0.375,0.5370765366285964,0.4
euclidean_0.6,LincolnPark,0.375,0.5370765366285964,0.4
euclidean_0.6,NearNorthSide,0.0,1.7860265910260497e-09,0.0
euclidean_0.6,Portage_Park,0.125,0.17975045623543423,0.25
euclidean_0.6,South_Lawndale,0.0,1.7860265910260497e-09,0.0
top_3,Englewood,0.375,2.0222983141280382e-05,0.375
top_3,West_Englewood,0.375,2.0222983141280382e-05,0.375
top_3,Irving_Park,0.375,0.4999999996708593,0.375
top_3,JeffersonPark,0.375,0.4999999996708593,0.375
top_3,Lakeview,0.375,0.4999999996708593,0.375
top_3,LincolnPark,0.375,0.4999999996708593,0.375
top_3,NearNorthSide,0.25,1.5789628103825963e-05,0.28125
top_3,Portage_Park,0.0,5.22024357096243e-54,0.0
top_3,South_Lawndale,0.25,1.5789628103825963e-05,0.28125
top_4,Englewood,0.5,0.2155524942069887,0.6666666666666666
top_4,West_Englewood,0.5,0.2155524942069887,0.6666666666666666
top_4,Irving_Park,0.5,0.40309561962618606,0.5714285714285714
top_4,JeffersonPark,0.5,0.40309561962618606,0.5714285714285714
top_4,Lakeview,0.5,0.40309561962618606,0.5714285714285714
top_4,LincolnPark,0.5,0.40309561962618606,0.5714285714285714
top_4,NearNorthSide,0.25,0.10251190239514625,0.4444444444444444
top_4,Portage_Park,0.75,0.48591413847476456,0.8
top_4,South_Lawndale,0.25,0.10251190239514625,0.4444444444444444
correlation_0.5,Englewood,0.25,1.5573436373229138e-06,0.25
correlation_0.5,West_Englewood,0.25,1.5573436373229138e-06,0.25
correlation_0.5,Irving_Park,0.625,0.4082482904623778,0.625
correlation_0.5,JeffersonPark,0.625,0.4082482904623778,0.625
correlation_0.5,Lakeview,0.625,0.4082482904623778,0.625
correlation_0.5,LincolnPark,0.625,0.4082482904623778,0.625
correlation_0.5,NearNorthSide,0.25,1.5573436373229138e-06,0.25
correlation_0.5,Portage_Park,0.625,0.4082482904623778,0.625
correlation_0.5,South_Lawndale,0.625,0.4082482904623778,0.625
