Network,Community_Area,Local_Clustering,Global_Clustering,Average_Clustering
cosine_0.7,Englewood,1.0,1.0,0.8888888888888888
cosine_0.7,West_Englewood,1.0,1.0,0.8888888888888888
cosine_0.7,Irving_Park,1.0,1.0,0.8888888888888888
cosine_0.7,JeffersonPark,1.0,1.0,0.8888888888888888
cosine_0.7,Lakeview,1.0,1.0,0.8888888888888888
cosine_0.7,LincolnPark,1.0,1.0,0.8888888888888888
cosine_0.7,NearNorthSide,0.0,1.0,0.8888888888888888
cosine_0.7,Portage_Park,1.0,1.0,0.8888888888888888
cosine_0.7,South_Lawndale,1.0,1.0,0.8888888888888888
cosine_0.5,Englewood,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,West_Englewood,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,Irving_Park,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,JeffersonPark,0.6,0.8918918918918919,0.8444444444444444
cosine_0.5,Lakeview,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,LincolnPark,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,NearNorthSide,0.0,0.8918918918918919,0.8444444444444444
cosine_0.5,Portage_Park,1.0,0.8918918918918919,0.8444444444444444
cosine_0.5,South_Lawndale,1.0,0.8918918918918919,0.8444444444444444
cosine_0.3,Englewood,1.0,1.0,1.0
cosine_0.3,West_Englewood,1.0,1.0,1.0
cosine_0.3,Irving_Park,1.0,1.0,1.0
cosine_0.3,JeffersonPark,1.0,1.0,1.0
cosine_0.3,Lakeview,1.0,1.0,1.0
cosine_0.3,LincolnPark,1.0,1.0,1.0
cosine_0.3,NearNorthSide,1.0,1.0,1.0
cosine_0.3,Portage_Park,1.0,1.0,1.0
cosine_0.3,South_Lawndale,1.0,1.0,1.0
euclidean_0.6,Englewood,0.0,0.6,0.2962962962962963
euclidean_0.6,West_Englewood,0.0,0.6,0.2962962962962963
euclidean_0.6,Irving_Park,0.3333333333333333,0.6,0.2962962962962963
euclidean_0.6,JeffersonPark,1.0,0.6,0.2962962962962963
euclidean_0.6,Lakeview,0.6666666666666666,0.6,0.2962962962962963
euclidean_0.6,LincolnPark,0.6666666666666666,0.6,0.2962962962962963
euclidean_0.6,NearNorthSide,0.0,0.6,0.2962962962962963
euclidean_0.6,Portage_Park,0.0,0.6,0.2962962962962963
euclidean_0.6,South_Lawndale,0.0,0.6,0.2962962962962963
top_3,Englewood,0.6666666666666666,0.9,0.8148148148148148
top_3,West_Englewood,0.6666666666666666,0.9,0.8148148148148148
top_3,Irving_Park,1.0,0.9,0.8148148148148148
top_3,JeffersonPark,1.0,0.9,0.8148148148148148
top_3,Lakeview,1.0,0.9,0.8148148148148148
top_3,LincolnPark,1.0,0.9,0.8148148148148148
top_3,NearNorthSide,1.0,0.9,0.8148148148148148
top_3,Portage_Park,0.0,0.9,0.8148148148148148
top_3,South_Lawndale,1.0,0.9,0.8148148148148148
top_4,Englewood,0.5,0.7358490566037735,0.8296296296296296
top_4,West_Englewood,0.5,0.7358490566037735,0.8296296296296296
top_4,Irving_Park,1.0,0.7358490566037735,0.8296296296296296
top_4,JeffersonPark,1.0,0.7358490566037735,0.8296296296296296
top_4,Lakeview,1.0,0.7358490566037735,0.8296296296296296
top_4,LincolnPark,1.0,0.7358490566037735,0.8296296296296296
top_4,NearNorthSide,1.0,0.7358490566037735,0.8296296296296296
top_4,Portage_Park,0.4666666666666667,0.7358490566037735,0.8296296296296296
top_4,South_Lawndale,1.0,0.7358490566037735,0.8296296296296296
correlation_0.5,Englewood,1.0,1.0,1.0
correlation_0.5,West_Englewood,1.0,1.0,1.0
correlation_0.5,Irving_Park,1.0,1.0,1.0
correlation_0.5,JeffersonPark,1.0,1.0,1.0
correlation_0.5,Lakeview,1.0,1.0,1.0
correlation_0.5,LincolnPark,1.0,1.0,1.0
correlation_0.5,NearNorthSide,1.0,1.0,1.0
correlation_0.5,Portage_Park,1.0,1.0,1.0
correlation_0.5,South_Lawndale,1.0,1.0,1.0
