Community_Area,N_Clusters,Hierarchical_Cluster
Englewood,2,1
West_Englewood,2,1
Irving_Park,2,2
JeffersonPark,2,2
Lakeview,2,2
LincolnPark,2,2
NearNorthSide,2,2
Portage_Park,2,2
South_Lawndale,2,1
Englewood,3,1
West_Englewood,3,1
Irving_Park,3,2
JeffersonPark,3,2
Lakeview,3,2
LincolnPark,3,2
NearNorthSide,3,3
Portage_Park,3,2
South_Lawndale,3,1
Englewood,4,1
West_Englewood,4,1
Irving_Park,4,3
JeffersonPark,4,3
Lakeview,4,3
LincolnPark,4,3
NearNorthSide,4,4
Portage_Park,4,3
South_Lawndale,4,2
Englewood,5,1
West_Englewood,5,1
Irving_Park,5,3
JeffersonPark,5,3
Lakeview,5,3
LincolnPark,5,3
NearNorthSide,5,5
Portage_Park,5,4
South_Lawndale,5,2
